Identifier,Crime Type,Date/Time,Address,Agency
13079321,Other Sexual Offense,12/18/13 7:53,500 Block S NORFOLK ST,San Mateo Police Department
201303172,Theft,12/18/13 0:00,600 Block CALIFORNIA DR,Burlingame Police Department
13079249,Theft,12/17/13 18:01,1700 Block S DELAWARE ST,San Mateo Police Department
13079213,Theft,12/17/13 15:28,200 Block S IDAHO ST,San Mateo Police Department
13079205,Assault,12/17/13 14:30,800 Block 19TH AV,San Mateo Police Department
13079192,Theft from Vehicle,12/17/13 13:24,1900 Block J HART CLINTON DR,San Mateo Police Department
13079100,Theft,12/17/13 7:13,1 Block ARROYO CT,San Mateo Police Department
13079081,Theft,12/16/13 23:42,1600 Block S EL CAMINO REAL,San Mateo Police Department
13078994,Theft,12/16/13 17:14,1600 Block MARINA CT,San Mateo Police Department
13078969,Theft,12/16/13 15:19,1600 Block MARINA CT,San Mateo Police Department
913-15999-0283,Theft,12/16/13 11:59,UNKNOWN & UNKNOWN,Los Angeles County Sheriff Department
13078918,Theft from Vehicle,12/16/13 11:34,600 Block S EL CAMINO REAL,San Mateo Police Department
13078907,Theft,12/16/13 10:48,1200 Block ALAMEDA DE LAS PULGAS,San Mateo Police Department
13078899,Theft,12/16/13 9:53,1300 Block COBB ST,San Mateo Police Department
13078898,Theft,12/16/13 9:50,1600 Block MARINA CT,San Mateo Police Department
13078896,Theft,12/16/13 9:48,400 Block STUDIO CR,San Mateo Police Department
13078889,Theft,12/16/13 9:33,1800 Block HAMLET ST,San Mateo Police Department
13078888,Theft,12/16/13 9:31,1600 Block MARINA CT,San Mateo Police Department
13078886,Theft,12/16/13 9:20,1600 Block MARINA CT,San Mateo Police Department
13078876,Theft,12/16/13 8:53,300 Block LAURIE MEADOWS DR,San Mateo Police Department
13078873,Breaking & Entering,12/16/13 8:45,1 Block BALDWIN AV,San Mateo Police Department
13078872,Theft,12/16/13 8:43,1600 Block COBB ST,San Mateo Police Department
13078870,Theft,12/16/13 8:32,1200 Block DIX ST,San Mateo Police Department
13078869,Theft,12/16/13 8:29,100 Block S B ST,San Mateo Police Department
13078867,Theft,12/16/13 8:25,100 Block S SAN MATEO DR,San Mateo Police Department
13078863,Theft,12/16/13 8:11,1700 Block BORDEN ST,San Mateo Police Department
13078857,Theft,12/16/13 7:47,1600 Block S EL CAMINO REAL,San Mateo Police Department
13078847,Theft,12/16/13 6:14,200 Block N IDAHO ST,San Mateo Police Department
13078796,Theft of Vehicle,12/15/13 21:12,200 Block N IDAHO ST,San Mateo Police Department
13078779,Assault,12/15/13 20:19,1 Block S B ST,San Mateo Police Department
13078745,Theft,12/15/13 17:58,3000 Block LA SELVA ST,San Mateo Police Department
13078710,Theft,12/15/13 15:48,1700 Block S DELAWARE ST,San Mateo Police Department
13078676,Theft from Vehicle,12/15/13 13:49,1900 Block J HART CLINTON DR,San Mateo Police Department
13078617,Theft from Vehicle,12/15/13 8:57,VISTA DEL MAR &WINWARD WAY,San Mateo Police Department
13078600,Theft from Vehicle,12/15/13 1:37,2000 Block BRIDGEPOINTE CR,San Mateo Police Department
201303157,Theft,12/15/13 0:00,1300 Block BERNAL AV,Burlingame Police Department
13078419,Theft from Vehicle,12/14/13 14:35,300 Block S ELLSWORTH AV,San Mateo Police Department
13078371,Breaking & Entering,12/14/13 10:33,600 Block E 3RD AV,San Mateo Police Department
13078368,Theft of Vehicle,12/14/13 10:08,700 Block FIESTA DR,San Mateo Police Department
13078367,Breaking & Entering,12/14/13 10:05,600 Block S B ST,San Mateo Police Department
13078360,Theft of Vehicle,12/14/13 9:14,800 Block WOODSIDE WAY,San Mateo Police Department
13078333,Theft from Vehicle,12/14/13 1:40,E 3RD AV &S SAN MATEO DR,San Mateo Police Department
201303123,Theft,12/14/13 0:00,1400 Block BURLINGAME AV,Burlingame Police Department
13078305,Theft from Vehicle,12/13/13 22:15,2700 Block ALAMEDA DE LAS PULGAS,San Mateo Police Department
13078296,Assault,12/13/13 21:35,200 Block W 39TH AV,San Mateo Police Department
13078270,Assault,12/13/13 20:16,E 3RD AV &S B ST,San Mateo Police Department
13078269,Theft from Vehicle,12/13/13 20:08,300 Block S ELLSWORTH AV,San Mateo Police Department
13078264,Theft from Vehicle,12/13/13 19:48,500 Block S B ST,San Mateo Police Department
13078251,Theft,12/13/13 18:37,1 Block BOVET RD,San Mateo Police Department
13078222,Theft of Vehicle,12/13/13 16:31,E 4TH AV &S ELLSWORTH AV,San Mateo Police Department
13078176,Theft,12/13/13 11:35,400 Block MIDWAY AV,San Mateo Police Department
13078172,Theft,12/13/13 11:18,1 Block HAYWARD AV,San Mateo Police Department
13078168,Theft,12/13/13 10:47,1 Block N CLAREMONT ST,San Mateo Police Department
13078141,Theft from Vehicle,12/13/13 8:03,1 Block BOVET RD,San Mateo Police Department
13078075,Theft from Vehicle,12/12/13 21:37,800 Block S B ST,San Mateo Police Department
13078037,Sexual Assault,12/12/13 17:40,200 Block FRANKLIN PKY,San Mateo Police Department
13078033,Theft from Vehicle,12/12/13 17:20,100 Block S QUEBEC ST,San Mateo Police Department
13078012,Theft of Vehicle,12/12/13 15:48,BYRON AV &DAISY ST,San Mateo Police Department
13077958,Theft,12/12/13 10:52,800 Block N HUMBOLDT ST,San Mateo Police Department
13077955,Theft of Vehicle,12/12/13 10:23,600 Block CONNIE AV,San Mateo Police Department
13077954,Theft,12/12/13 10:21,1800 Block S NORFOLK ST,San Mateo Police Department
13077924,Breaking & Entering,12/12/13 6:24,300 Block S NORFOLK ST,San Mateo Police Department
13077917,Theft of Vehicle,12/12/13 4:15,1400 Block DORE AV,San Mateo Police Department
13077858,Theft,12/11/13 21:19,2200 Block BRIDGEPOINTE PKY,San Mateo Police Department
13077808,Theft of Vehicle,12/11/13 17:31,400 Block N BAYSHORE BLVD,San Mateo Police Department
13077741,Theft from Vehicle,12/11/13 11:48,1800 Block J HART CLINTON DR,San Mateo Police Department
13077739,Breaking & Entering,12/11/13 11:33,3100 Block CASA DE CAMPO,San Mateo Police Department
13077738,Assault,12/11/13 11:31,200 Block RAMONA ST,San Mateo Police Department
13077735,Theft from Vehicle,12/11/13 11:11,1800 Block S GRANT ST,San Mateo Police Department
13077723,Theft,12/11/13 10:32,100 Block N SAN MATEO DR,San Mateo Police Department
13077685,Theft,12/11/13 1:24,2100 Block STRATFORD WAY,San Mateo Police Department
13077670,Robbery,12/10/13 23:22,600 Block E 3RD AV,San Mateo Police Department
13077625,Theft,12/10/13 19:59,500 Block CRESCENT AV,San Mateo Police Department
13077532,Theft,12/10/13 12:24,2200 Block S DELAWARE ST,San Mateo Police Department
13077489,Theft,12/10/13 8:02,500 Block 2ND AV,San Mateo Police Department
13077488,Theft,12/10/13 7:57,2200 Block S EL CAMINO REAL,San Mateo Police Department
13077486,Breaking & Entering,12/10/13 7:43,800 Block N AMPHLETT BLVD,San Mateo Police Department
201303088,Theft,12/10/13 0:00,1 Block MANGINI WAY,Burlingame Police Department
