13082238,Theft,600 Block CONCAR DR,San Mateo Police Department,12/31/2013,19:57
13082195,Assault,1 Block N CLAREMONT ST,San Mateo Police Department,12/31/2013,16:54
13082161,Theft,600 Block CONCAR DR,San Mateo Police Department,12/31/2013,14:21
13082146,Theft,1700 Block BROOKS ST,San Mateo Police Department,12/31/2013,12:14
13082130,Theft,1600 Block WOLFE DR,San Mateo Police Department,12/31/2013,10:50
13082120,Theft,300 Block BALDWIN AV,San Mateo Police Department,12/31/2013,9:01
13082110,Theft,1400 Block S B ST,San Mateo Police Department,12/31/2013,7:28
13082109,Theft,300 Block ELM ST,San Mateo Police Department,12/31/2013,7:25
13082084,Theft,2900 Block S NORFOLK ST,San Mateo Police Department,12/31/2013,0:22
13081941,Theft,1 Block BOVET RD,San Mateo Police Department,12/30/2013,14:37
13081923,Theft,1900 Block OFARRELL ST,San Mateo Police Department,12/30/2013,13:34
13081911,Breaking & Entering,1 Block EL CERRITO AV,San Mateo Police Department,12/30/2013,12:28
13081890,Theft,1 Block 14TH AV,San Mateo Police Department,12/30/2013,10:55
13081882,Theft,800 Block N HUMBOLDT ST,San Mateo Police Department,12/30/2013,10:29
13081869,Theft,3000 Block LOS PRADOS,San Mateo Police Department,12/30/2013,9:52
13081861,Theft,200 Block VIRGINIA AV,San Mateo Police Department,12/30/2013,8:38
13081852,Theft,400 Block E BELLEVUE AV,San Mateo Police Department,12/30/2013,7:59
13081847,Theft,1100 Block WAYNE WAY,San Mateo Police Department,12/30/2013,7:29
13081842,Theft,1700 Block S GRANT ST,San Mateo Police Department,12/30/2013,7:20
13081714,Theft,500 Block S EL CAMINO REAL,San Mateo Police Department,12/29/2013,14:44
13081683,Theft from Vehicle,1800 Block S GRANT ST,San Mateo Police Department,12/29/2013,10:30
13081682,Theft,200 Block BALDWIN AV,San Mateo Police Department,12/29/2013,10:26
13081597,Theft,600 Block CONCAR DR,San Mateo Police Department,12/28/2013,21:56
13081469,Theft,800 Block N DELAWARE ST,San Mateo Police Department,12/28/2013,9:39
13081376,Theft,300 Block S NORFOLK ST,San Mateo Police Department,12/27/2013,21:14
13081347,Assault,N DELAWARE ST &MONTE DIABLO AV,San Mateo Police Department,12/27/2013,17:48
13081279,Theft of Vehicle,1 Block 9TH AV,San Mateo Police Department,12/27/2013,11:43
13081267,Theft,E 4TH AV &S DELAWARE ST,San Mateo Police Department,12/27/2013,9:38
13081178,Theft,1600 Block S EL CAMINO REAL,San Mateo Police Department,12/26/2013,20:57
13081168,Theft from Vehicle,1800 Block S GRANT ST,San Mateo Police Department,12/26/2013,19:42
13081121,Theft,200 Block N GRANT ST,San Mateo Police Department,12/26/2013,16:27
13081065,Theft,600 Block CONCAR DR,San Mateo Police Department,12/26/2013,11:19
13080837,Breaking & Entering,600 Block NEVADA AV,San Mateo Police Department,12/24/2013,21:53
13080699,Theft,100 Block SOUTH BLVD,San Mateo Police Department,12/24/2013,7:46
13080697,Theft,500 Block S EL CAMINO REAL,San Mateo Police Department,12/24/2013,7:42
13080639,Theft from Vehicle,600 Block CONCAR DR,San Mateo Police Department,12/23/2013,22:15
13080626,Robbery,300 Block CATALPA ST,San Mateo Police Department,12/23/2013,21:45
13080498,Theft of Vehicle,700 Block E 16TH AV,San Mateo Police Department,12/23/2013,11:22
13080459,Theft,2200 Block BRIDGEPOINTE PKY,San Mateo Police Department,12/23/2013,9:16
13080454,Theft,1500 Block S NORFOLK ST,San Mateo Police Department,12/23/2013,9:02
13080448,Theft,1400 Block LODI AV,San Mateo Police Department,12/23/2013,8:38
13080447,Theft,1 Block DE SABLA RD,San Mateo Police Department,12/23/2013,8:33
13080446,Theft,1300 Block S B ST,San Mateo Police Department,12/23/2013,8:31
13080444,Theft,800 Block N CLAREMONT ST,San Mateo Police Department,12/23/2013,8:29
13080390,Theft of Vehicle,700 Block E 16TH AV,San Mateo Police Department,12/22/2013,23:19
13080226,Theft from Vehicle,300 Block W POPLAR AV,San Mateo Police Department,12/22/2013,10:14
13080224,Assault,300 Block N DELAWARE ST,San Mateo Police Department,12/22/2013,10:07
13080128,Theft from Vehicle,1 Block 2ND AV,San Mateo Police Department,12/21/2013,21:57
13080126,Theft from Vehicle,400 Block S ELLSWORTH AV,San Mateo Police Department,12/21/2013,21:47
13080124,Theft from Vehicle,1 Block 2ND AV,San Mateo Police Department,12/21/2013,21:31
13080120,Theft from Vehicle,1 Block 2ND AV,San Mateo Police Department,12/21/2013,21:15
13080119,Theft from Vehicle,1 Block 2ND AV,San Mateo Police Department,12/21/2013,21:15
