S140160068,Breaking & Entering,300 Block GALVEZ ST,Santa Clara County Sheriff's Office,1/16/2014,7:23
S140160345,Theft,600 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,1/16/2014,15:41
S140190179,Theft from Vehicle,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/19/2014,13:58
S140190323,Breaking & Entering,500 Block LASUEN MALL,Santa Clara County Sheriff's Office,1/19/2014,20:50
S140200049,Theft from Vehicle,0 BLOCK PALM DR,Santa Clara County Sheriff's Office,1/20/2014,5:54
S140210301,Theft,600 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,1/21/2014,13:40
S140210487,Theft,500 Block LASUEN ST,Santa Clara County Sheriff's Office,1/21/2014,19:23
S140220279,Theft,500 Block LASUEN MALL,Santa Clara County Sheriff's Office,1/22/2014,12:57
S140250042,Theft,300 Block SANTA TERESA ST,Santa Clara County Sheriff's Office,1/25/2014,4:11
S140250312,Theft,200 Block AYRSHIRE FARM LN,Santa Clara County Sheriff's Office,1/25/2014,19:11
S140270001,Theft,300 Block GALVEZ ST,Santa Clara County Sheriff's Office,1/27/2014,0:00
S140270209,Theft,500 Block LASUEN ST,Santa Clara County Sheriff's Office,1/27/2014,13:13
S140280140,Theft,600 Block SERRA ST,Santa Clara County Sheriff's Office,1/28/2014,10:09
S140300104,Theft,600 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,1/30/2014,9:03
S140300240,Theft,300 Block SERRA MALL,Santa Clara County Sheriff's Office,1/30/2014,13:05
S133480195,Theft from Vehicle,MUSEUM WAY,Santa Clara County Sheriff's Office,12/14/2013,14:39
S133490215,Assault,1 Block BLOCK PASTEUR DR,Santa Clara County Sheriff's Office,12/15/2013,14:49
S133500284,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/16/2013,16:05
S133510017,Theft,300 Block OAK RD,Santa Clara County Sheriff's Office,12/17/2013,1:12
S133520210,Breaking & Entering,500 Block LASUEN ST,Santa Clara County Sheriff's Office,12/18/2013,13:31
S133520453,Breaking & Entering,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/18/2013,22:46
S133530136,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/19/2013,11:00
S133530236,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/19/2013,15:30
S133540241,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/20/2013,16:22
S140320220,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/1/2014,13:21
S140330200,Theft,700 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,2/2/2014,13:24
S140340245,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/3/2014,13:13
S140340321,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/3/2014,15:34
S140340452,Theft,400 Block LOMITA MALL,Santa Clara County Sheriff's Office,2/3/2014,21:55
